Date,value
08-06-2022,1500
09-05-2022,800
31-03-2022,1100
30-03-2022,1200
29-03-2022,1200
28-03-2022,1100
25-03-2022,1200
24-03-2022,1500
23-03-2022,1100
22-03-2022,1100
21-03-2022,1000
02-03-2022,2200
01-03-2022,2200
12-10-2021,2000
09-10-2021,1000
09-09-2021,1000
10-08-2021,800
09-08-2021,1000
30-07-2021,1700
30-07-2021,1700
29-07-2021,1700
28-07-2021,1800
27-07-2021,1900
26-07-2021,1700
26-07-2021,1700
23-07-2021,1600
22-07-2021,1600
19-07-2021,1800
15-07-2021,1800
14-07-2021,1500
14-07-2021,1500
13-07-2021,1500
13-07-2021,1500
12-07-2021,1400
12-07-2021,1400
12-07-2021,2200
10-07-2021,900
09-07-2021,1800
08-07-2021,1700
07-07-2021,1800
06-07-2021,1600
05-07-2021,1800
05-07-2021,1800
02-07-2021,1700
01-07-2021,1600
30-06-2021,1400
29-06-2021,1600
25-06-2021,1200
24-06-2021,1300
23-06-2021,1300
22-06-2021,1200
21-06-2021,1200
18-06-2021,1400
17-06-2021,1400
16-06-2021,1300
15-06-2021,1400
14-06-2021,1400
12-06-2021,2300
11-06-2021,1400
08-06-2021,1100
07-06-2021,1200
04-06-2021,1200
03-06-2021,1200
02-06-2021,1200
01-06-2021,1000
31-05-2021,900
31-05-2021,900
27-05-2021,900
25-05-2021,900
24-05-2021,900
20-05-2021,1100
20-05-2021,1100
19-05-2021,1100
18-05-2021,1100
17-05-2021,1100
14-05-2021,1100
12-05-2021,1100
12-05-2021,1100
11-05-2021,1000
10-05-2021,1000
10-05-2021,900
07-05-2021,1100
06-05-2021,1100
05-05-2021,1100
04-05-2021,1100
30-04-2021,1200
30-04-2021,1200
29-04-2021,1200
28-04-2021,1200
28-04-2021,1200
27-04-2021,1300
23-04-2021,900
22-04-2021,900
22-04-2021,900
20-04-2021,900
19-04-2021,900
16-04-2021,1300
12-04-2021,1100
10-04-2021,900
09-04-2021,1000
08-04-2021,900
07-04-2021,1000
06-04-2021,900
05-04-2021,800
01-04-2021,1200
31-03-2021,1200
30-03-2021,1100
25-03-2021,1000
24-03-2021,900
23-03-2021,900
22-03-2021,1100
16-03-2021,1000
15-03-2021,1000
12-03-2021,800
12-03-2021,1500
10-03-2021,800
09-03-2021,600
08-03-2021,600
05-03-2021,900
04-03-2021,900
04-03-2021,900
03-03-2021,900
02-03-2021,900
01-03-2021,800
26-02-2021,900
26-02-2021,900
25-02-2021,900
24-02-2021,900
22-02-2021,800
18-02-2021,900
17-02-2021,900
15-02-2021,1000
12-02-2021,1100
12-02-2021,1400
11-02-2021,1100
11-02-2021,1100
11-02-2021,1000
10-02-2021,900
09-02-2021,800
09-02-2021,800
08-02-2021,800
08-02-2021,800
05-02-2021,800
05-02-2021,800
04-02-2021,700
02-02-2021,700
01-02-2021,700
29-01-2021,1000
28-01-2021,1000
27-01-2021,800
25-01-2021,700
22-01-2021,1100
22-01-2021,1100
21-01-2021,1000
20-01-2021,900
19-01-2021,800
19-01-2021,800
18-01-2021,1200
15-01-2021,1200
15-01-2021,1200
14-01-2021,900
12-01-2021,1500
11-01-2021,1100
10-01-2021,1000
06-01-2021,900
06-01-2021,900
05-01-2021,900
04-01-2021,900
04-01-2021,900
01-01-2021,900
31-12-2020,1200
30-12-2020,1100
29-12-2020,1100
24-12-2020,1200
23-12-2020,1200
22-12-2020,1000
18-12-2020,1000
17-12-2020,1000
16-12-2020,900
15-12-2020,1500
15-12-2020,1500
11-12-2020,1400
11-12-2020,1400
10-12-2020,1400
09-12-2020,1400
07-12-2020,2000
04-12-2020,1800
03-12-2020,2100
02-12-2020,2300
01-12-2020,1900
27-11-2020,1200
26-11-2020,1200
25-11-2020,1400
24-11-2020,1300
23-11-2020,1400
19-11-2020,2400
17-11-2020,2200
12-11-2020,3800
11-11-2020,2700
10-11-2020,2800
09-11-2020,2800
06-11-2020,3700
05-11-2020,3700
04-11-2020,3700
03-11-2020,3800
02-11-2020,3300
29-10-2020,3500
28-10-2020,4000
15-10-2020,3100
14-10-2020,3100
13-10-2020,2600
12-10-2020,2600
10-10-2020,2600
09-10-2020,3000
08-10-2020,2500
07-10-2020,2400
06-10-2020,2400
06-10-2020,2400
05-10-2020,2400
05-10-2020,2400
03-10-2020,2300
02-10-2020,2200
01-10-2020,1900
29-09-2020,1800
28-09-2020,1800
28-09-2020,1800
26-09-2020,1400
25-09-2020,1400
24-09-2020,1700
23-09-2020,1500
22-09-2020,1500
21-09-2020,1500
18-09-2020,1500
17-09-2020,1600
17-09-2020,1600
16-09-2020,1500
15-09-2020,1500
14-09-2020,1500
12-09-2020,1500
11-09-2020,1500
11-09-2020,1500
10-09-2020,1500
09-09-2020,1500
09-09-2020,1500
08-09-2020,1500
08-09-2020,1500
07-09-2020,1200
07-09-2020,1200
05-09-2020,1200
04-09-2020,1200
03-09-2020,1600
02-09-2020,1700
22-08-2020,1200
21-08-2020,1200
21-08-2020,1200
04-07-2020,1100
04-07-2020,1100
